category_num,product_id,user_num,num_photo,rating,date,num_helpful
9,7012375223,40,6,5,2024.05.22,0
9,7012375223,41,10,5,2024.05.22,2
9,7012375223,42,10,5,2024.05.20,0
9,7012375223,43,10,5,2024.05.19,4
9,7012375223,44,5,5,2024.05.03,4
10,7092850345,3,10,5,2024.05.18,2
10,7092850345,45,10,4,2024.05.20,53
10,7092850345,3,10,5,2024.05.18,2
10,7092850345,46,10,5,2024.05.05,7
10,7092850345,47,10,5,2024.04.26,3
10,7092850345,48,10,5,2024.05.18,0
11,8040564057,3,10,5,2024.05.18,2
11,8040564057,3,10,5,2024.05.18,2
11,8040564057,49,3,5,2024.05.19,0
11,8040564057,50,2,3,2024.05.22,0
11,8040564057,51,0,5,2024.05.21,0
11,8040564057,52,0,4,2024.05.14,0
12,5723188763,3,10,5,2024.05.18,5
12,5723188763,53,10,5,2024.03.13,0
12,5723188763,54,0,5,2024.03.24,0
12,5723188763,55,0,5,2023.07.21,0
12,5723188763,56,0,5,2023.06.18,0
12,5723188763,57,0,5,2022.08.02,0
13,47242279,4,10,5,2024.05.19,0
13,47242279,4,10,5,2024.05.19,0
13,47242279,58,7,5,2024.05.07,3
13,47242279,59,9,5,2024.04.07,14
13,47242279,60,11,5,2024.02.17,11
13,47242279,61,9,5,2024.02.05,8
14,6581290358,4,10,5,2024.05.17,1
14,6581290358,4,10,5,2024.05.17,0
14,6581290358,62,5,5,2024.02.25,4
14,6581290358,63,11,5,2024.01.16,7
14,6581290358,64,10,5,2024.01.02,6
14,6581290358,65,5,5,2023.11.14,7
15,6330671687,4,10,5,2024.05.12,4
15,6330671687,66,10,5,2024.05.13,11
15,6330671687,67,10,5,2024.05.13,10
15,6330671687,68,11,5,2024.05.10,17
15,6330671687,69,10,4,2024.05.08,16
15,6330671687,70,8,5,2024.05.03,7
16,7372582856,5,7,5,2024.05.20,3
16,7372582856,71,9,5,2024.05.18,5
16,7372582856,72,8,5,2024.05.17,4
16,7372582856,73,10,5,2024.05.15,9
16,7372582856,74,8,5,2024.05.15,4
16,7372582856,75,5,5,2024.05.04,12
17,8117995025,5,10,5,2024.05.20,3
18,611206,5,7,5,2024.05.20,3
18,611206,5,7,5,2024.05.20,3
18,611206,76,6,4,2024.05.05,1
18,611206,77,8,5,2024.04.29,13
18,611206,78,10,5,2024.04.24,6
18,611206,79,5,5,2024.04.18,4
19,7669982306,6,10,5,2024.05.20,1
19,7669982306,6,10,5,2024.05.20,1
19,7669982306,80,10,5,2024.03.22,6
19,7669982306,81,10,5,2024.02.14,7
19,7669982306,82,8,5,2024.03.24,5
19,7669982306,83,7,5,2024.02.02,8
20,1551145126,6,10,5,2024.05.20,0
20,1551145126,84,10,5,2024.05.08,0
20,1551145126,85,11,5,2024.04.15,3
20,1551145126,86,10,5,2024.03.09,2
20,1551145126,87,10,5,2024.03.06,4
20,1551145126,88,11,5,2024.01.11,21
21,1946251575,6,10,5,2024.05.20,0
21,1946251575,6,10,5,2024.05.20,0
21,1946251575,89,10,5,2024.04.30,2
21,1946251575,90,6,5,2024.05.01,6
21,1946251575,91,5,5,2024.05.02,2
21,1946251575,92,10,5,2024.01.28,22
22,7211783264,7,8,5,2024.05.22,0
22,7211783264,93,5,5,2024.05.14,6
22,7211783264,94,10,5,2024.05.10,9
22,7211783264,95,7,4,2024.05.09,3
22,7211783264,96,10,5,2024.05.02,10
22,7211783264,97,10,5,2024.05.01,4
23,6271426720,7,0,5,2024.05.08,0
23,6271426720,98,10,5,2024.04.26,1
23,6271426720,99,5,5,2024.01.14,5
23,6271426720,100,5,5,2022.02.16,35
23,6271426720,101,0,5,2023.11.22,4
23,6271426720,102,6,5,2024.04.12,0
24,7414885642,8,5,5,2024.05.14,4
24,7414885642,103,8,5,2021.10.27,40
24,7414885642,104,5,5,2021.10.30,36
24,7414885642,105,7,4,2021.09.18,19
24,7414885642,106,2,5,2021.10.01,27
24,7414885642,107,3,5,2023.09.22,20
25,1608824291,8,6,5,2024.05.14,9
25,1608824291,108,7,5,2024.05.19,0
25,1608824291,8,6,5,2024.05.14,9
25,1608824291,109,10,5,2024.05.04,2
25,1608824291,110,9,5,2024.05.05,3
25,1608824291,111,10,5,2024.04.16,4
26,11510,9,9,5,2024.05.23,0
26,11510,9,10,5,2024.05.23,0
26,11510,112,10,5,2022.01.21,4
26,11510,113,5,5,2018.04.27,34
26,11510,114,5,5,2018.01.27,11
26,11510,115,5,5,2018.05.19,17
27,7988849551,9,9,5,2024.05.22,1
27,7988849551,116,0,5,2024.05.06,2
27,7988849551,117,0,5,2024.05.06,0
27,7988849551,118,0,5,2024.04.22,0
28,80895843,9,9,5,2024.05.19,0
28,80895843,9,10,5,2024.05.19,0
28,80895843,119,6,5,2019.09.19,18
28,80895843,120,4,5,2024.03.06,0
28,80895843,121,4,5,2020.08.31,2
28,80895843,122,0,5,2024.04.12,0
29,7243075622,0,10,5,2024.05.23,0
29,7243075622,123,9,5,2024.05.05,10
29,7243075622,124,10,5,2024.05.10,5
29,7243075622,125,10,5,2024.04.26,14
29,7243075622,126,5,5,2024.05.10,2
29,7243075622,127,10,5,2024.03.18,6
3,8004851073,0,10,5,2024.05.22,0
3,8004851073,128,11,5,2024.05.23,0
3,8004851073,129,11,5,2024.05.23,0
3,8004851073,130,7,5,2024.05.23,0
3,8004851073,131,11,5,2024.05.23,0
3,8004851073,132,10,5,2024.05.20,2
30,1499806355,0,10,5,2024.05.19,7
30,1499806355,0,10,5,2024.05.19,7
30,1499806355,133,10,5,2024.05.16,4
30,1499806355,134,10,5,2024.04.06,17
30,1499806355,135,11,5,2024.03.23,12
30,1499806355,136,10,5,2024.03.15,14
31,6577832726,10,0,5,2024.03.26,0
31,6577832726,137,5,5,2024.05.20,0
31,6577832726,138,7,5,2024.05.06,1
31,6577832726,139,10,4,2024.04.15,2
